X1;X2;X3
243.343;138.43;99.5224;
232.851;127.939;89.0312;
228.961;124.048;85.1404;
226.059;121.146;82.2384;
231.655;126.742;87.8348;
224.216;119.304;80.396;
233.06;128.147;89.2396;
222.751;117.838;78.9306;
240.138;135.225;96.3175;
209.532;104.62;65.7122;
208.873;103.96;65.053;
236.801;131.889;92.9811;
203.51;98.5976;59.6901;
215.761;110.848;71.9409;
216.707;111.794;72.8865;
197.664;92.7516;53.8441;
227.014;122.102;83.1942;
226.635;121.722;82.8148;
202.66;97.747;58.8396;
248.006;143.093;104.185;
201.452;96.5391;57.6316;
233.767;128.854;89.9467;
219.14;114.228;75.3202;
215.733;110.82;71.9126;
223.665;118.752;79.8446;
214.41;109.497;70.5897;
220.849;115.936;77.0288;
219.867;114.955;76.0472;
216.343;111.43;72.5229;
224.993;120.08;81.1727;
220.994;116.082;77.1742;
225.322;120.41;81.502;
226.967;122.054;83.1465;
226.933;122.021;83.1131;
235.882;130.969;92.0616;
193.641;88.7282;49.8208;
228.084;123.171;84.2633;
231.983;127.071;88.1632;
224.77;119.857;80.95;
215.079;110.167;71.2591;
231.952;127.04;88.1321;
239.528;134.616;95.708;
222.422;117.51;78.6021;
209.753;104.84;65.9323;
211.51;106.597;67.6893;
221.759;116.846;77.9388;
213.464;108.551;69.6434;
196.146;91.2331;52.3256;
213.338;108.426;69.5182;
215.304;110.391;71.4839;
228.638;123.726;84.8181;
229.807;124.894;85.9864;
206.486;101.573;62.6659;
218.941;114.028;75.121;
210.49;105.577;66.6694;
223.234;118.321;79.4135;
210.796;105.883;66.9755;
224.721;119.808;80.9009;
207.942;103.029;64.1215;
226.581;121.668;82.7609;
206.471;101.558;62.6507;
236.415;131.502;92.5948;
215.979;111.066;72.159;
240.262;135.349;96.4413;
233.883;128.97;90.0629;
205.486;100.573;61.6659;
230.171;125.259;86.351;
219.82;114.907;75.9996;
215.205;110.292;71.3844;
224.188;119.275;80.3674;
233.261;128.348;89.4409;
234.333;129.42;90.5123;
211.508;106.596;67.6882;
226.257;121.344;82.4363;
215.395;110.482;71.5748;
209.326;104.413;65.5059;
224.938;120.025;81.1175;
215.719;110.806;71.8982;
230.521;125.608;86.7004;
205.302;100.389;61.4816;
206.995;102.082;63.1746;
210.139;105.226;66.3184;
216.044;111.132;72.2242;
222.008;117.095;78.1876;
241.309;136.396;97.4887;
212.035;107.122;68.2147;
224.084;119.171;80.2635;
213.763;108.851;69.9432;
226.825;121.912;83.005;
209.14;104.227;65.3195;
230.918;126.005;87.098;
239.361;134.448;95.5406;
215.935;111.022;72.115;
205.993;101.08;62.1729;
202.33;97.417;58.5095;
196.068;91.1554;52.2479;
